,Topic,Words,Frequency,Timestamp
0,-1,"financial, company, products, operations, results",77,2007-01-01
1,0,"products, customers, results, financial, operations",45,2007-01-01
2,1,"clinical, product, candidates, drug, trials",13,2007-01-01
3,2,"loans, bank, loan, financial, interest",18,2007-01-01
4,3,"oil, gas, natural gas, natural, oil natural",7,2007-01-01
5,5,"properties, reit, income, property, tenants",9,2007-01-01
6,6,"carmax, vehicle, vehicles, sales, products",5,2007-01-01
7,7,"buy fiscal form, fiscal form ktable, best buy fiscal, buy fiscal, update statements best",1,2007-01-01
8,8,"enable, vitas, cash, operations, gas",5,2007-01-01
9,9,"insurance, mortgage insurance, mortgage, reinsurance, financial guaranty",2,2007-01-01
10,10,"hotel, hotels, properties, reit, tax",3,2007-01-01
11,15,"investment, investments, portfolio, securities, net",2,2007-01-01
12,16,"met coal, coal, mining, met, mineral",1,2007-01-01
13,17,"tds, wireless, spectrum, fcc, services",3,2007-01-01
14,18,"semiconductor, products, customers, manufacturing, sales",2,2007-01-01
15,19,"president, clients, vice, vice president, global",1,2007-01-01
16,20,"factorsinformation, pages, factors21cautionary, pages annual stockholders, factors21cautionary affect future",4,2007-01-01
17,22,"statements, report, annual report, annual, contentspagepart",2,2007-01-01
18,23,"freight, fuel, carriers, transportation, drivers",5,2007-01-01
19,24,"government, contracts, contract, us, future",7,2007-01-01
20,25,"southern, traditional operating, southern company, operating companies, traditional",1,2007-01-01
21,26,"ppg, materials, raw, coatings, raw materials",1,2007-01-01
22,28,"gold, custodian, trust, trustee, trusts",1,2007-01-01
23,29,"video, programming, service, cable, services",2,2007-01-01
24,30,"products, window, customers, windows, anixter",3,2007-01-01
25,31,"television, programming, stations, performers, class common",2,2007-01-01
26,32,"aircraft, government, contracts, airline, parts",2,2007-01-01
27,33,"water, wastewater, water wastewater, lowry, lowry range",3,2007-01-01
28,34,"ncm, ncm llc, founding, llc, founding members",1,2007-01-01
29,36,", , , , ",2,2007-01-01
30,37,"peoples united, peoples, united financial, peoples united financial, dnb",1,2007-01-01
31,39,"uso, futures, uscf, oil futures, oil",1,2007-01-01
32,40,"aircraft, companys, fuel, ethanol, airtran",3,2007-01-01
33,41,"lumber, treated lumber, lumber market, sales, treated",1,2007-01-01
34,43,"solar, modules, solar modules, photovoltaic, pv",1,2007-01-01
35,44,"paper, piumpf, 2021 senior notes, 2021 senior, pulp",1,2007-01-01
36,45,"nathan, restaurant, restaurants, products, famous",2,2007-01-01
37,46,"evercore, clients, lp, advisory, evercore lp",2,2007-01-01
38,47,"avocados, calavo, avocado, fresh, fruit",1,2007-01-01
39,51,"value line, line, eam, value, line investment",1,2007-01-01
40,53,"game, games, video game, video, titles",3,2007-01-01
41,59,"boat, marine, sea ray, dealers, brunswick",1,2007-01-01
42,60,"mge, energy, electric, power, consumers",1,2007-01-01
43,64,"fuel, customers, operations, financial, results",2,2007-01-01
44,66,"fpl, fpl group, group fpl, fpl group fpl, group",1,2007-01-01
45,67,"government, aerospace, aircraft, discussion, statements",1,2007-01-01
46,68,"mortgage, insurance, mgic, mortgage insurance, gses",2,2007-01-01
47,69,"cruise, ships, cruises, vacation, guests",1,2007-01-01
48,71,"equipment, rental, construction, credit, financial",2,2007-01-01
49,73,"cequent, cequent businesses, arconic, spin, material",2,2007-01-01
50,77,"fuel cell, nep, energy, fuel, power",1,2007-01-01
51,79,"financial measures, report form, annual report form, annual report, please see non",1,2007-01-01
52,83,"kaplan, title iv, ed, iv, title",1,2007-01-01
53,85,"company, company financial, affect company, company financial condition, products",1,2007-01-01
54,86,"pharmacy, pharmaceutical, health, products, generic",2,2007-01-01
55,87,"statements, contentspagepart, undue reliance statements, reliance statements, place undue reliance",2,2007-01-01
56,88,"report described company, company filings exchange, exchange act part, described company filings, elsewhere report described",1,2007-01-01
57,89,"kcs, rail, railroads, railroad, mexican",3,2007-01-01
58,95,"operations financial position, home, financial position, position, results operations financial",2,2007-01-01
59,97,"homes, homebuilding, mortgage, home, land",2,2007-01-01
60,100,"grainger, pet, stock class common, common stock class, common stock",2,2007-01-01
61,102,"tobacco, leaf, leaf tobacco, tobacco products, farmers",1,2007-01-01
62,105,"trading, electronic trading, trading platform, electronic trading platform, electronic",1,2007-01-01
63,106,"oem, oem suppliers, operating results, mitac, operating",1,2007-01-01
64,109,"florida, real, real estate, estate, northwest florida",1,2007-01-01
65,111,"steel, ore, iron ore, iron, production",3,2007-01-01
66,115,"kforce, credit, kforces, stations, clients",2,2007-01-01
67,117,"insurance, mortgage, mortgage insurance, financial, capital",1,2007-01-01
68,121,"railcar, railcars, portland, backlog, abilityto",1,2007-01-01
69,122,"warehouses, merchandise, members, warehouse, operations",1,2007-01-01
70,123,"leases, term note, self storage, self storage facilities, lease",1,2007-01-01
71,130,"company, watches, jewelry, moissanite, sales",1,2007-01-01
72,-1,"company, financial, operations, us, results",122,2008-01-01
73,0,"products, results, financial, operations, customers",54,2008-01-01
74,1,"clinical, product, candidates, drug, trials",21,2008-01-01
75,2,"bank, loans, loan, financial, capital",14,2008-01-01
76,3,"gas, oil, natural gas, natural, oil natural",16,2008-01-01
77,4,"smaller reporting, smaller, smaller reporting company, reporting company, factorsnot",3,2008-01-01
78,5,"properties, reit, real, income, tenants",10,2008-01-01
79,6,"vehicle, vehicles, dealerships, dealership, operations",10,2008-01-01
80,7,"mortgage, fannie, mae, fannie mae, loans",13,2008-01-01
81,8,"vitas, debt, gas, ability, stock",7,2008-01-01
82,9,"insurance, reinsurance, company, financial, life",5,2008-01-01
83,10,"hotel, hotels, travel, reit, tax",4,2008-01-01
